count,x,y
1190,1991.0,4516.0
1191,668.0,2953.0
1192,3381.0,2629.0
1193,4728.0,2984.0
1194,38.0,57.0
1195,3741.0,4275.0
1196,1564.0,3137.0
1197,1133.0,3944.0
1198,2224.0,1847.0
1199,1821.0,2345.0
1200,3327.0,316.0
1201,1906.0,3052.0
1202,3276.0,4195.0
1203,3505.0,4050.0
1204,1574.0,624.0
1205,4668.0,2954.0
1206,3780.0,4576.0
1207,1828.0,2358.0
1208,3289.0,4135.0
1209,2775.0,3368.0
1210,1239.0,258.0
1211,1380.0,4978.0
1212,2624.0,3406.0
1213,852.0,190.0
1214,2342.0,4535.0
1215,1609.0,3720.0
1216,4157.0,2023.0
1217,796.0,3441.0
1218,308.0,839.0
1219,4952.0,3232.0
1220,772.0,1977.0
1221,3419.0,2959.0
1222,3830.0,1064.0
1223,666.0,3009.0
1224,3709.0,3409.0
1225,2167.0,2798.0
1226,2084.0,398.0
1227,1738.0,1587.0
1228,3225.0,2463.0
1229,4289.0,4836.0
1230,2592.0,1158.0
1231,4482.0,301.0
1232,1100.0,3347.0
1233,4819.0,1184.0
1234,303.0,3365.0
1235,2629.0,2668.0
1236,1258.0,2462.0
1237,2026.0,3247.0
1238,3539.0,4069.0
1239,177.0,487.0
1240,4240.0,2208.0
1241,964.0,3279.0
1242,870.0,3206.0
1243,4262.0,179.0
1244,4457.0,4557.0
1245,4144.0,3161.0
1246,2189.0,720.0
1247,3237.0,4152.0
1248,4318.0,2245.0
1249,1917.0,645.0
1250,2180.0,2609.0
1251,2920.0,3789.0
1252,3108.0,2914.0
1253,3926.0,2018.0
1254,2888.0,4161.0
1255,4096.0,4052.0
1256,4420.0,2133.0
1257,672.0,4094.0
1258,4353.0,1533.0
1259,1387.0,3797.0
1260,2770.0,4568.0
1261,444.0,1508.0
1262,2140.0,3218.0
1263,3506.0,2541.0
1264,1304.0,177.0
1265,4322.0,2037.0
1266,1617.0,3524.0
1267,1936.0,2296.0
1268,242.0,280.0
1269,1259.0,4515.0
1270,3959.0,4387.0
1271,3266.0,1959.0
1272,2540.0,3385.0
1273,3546.0,938.0
1274,1510.0,1226.0
1275,2367.0,2623.0
1276,4622.0,2032.0
1277,1598.0,1609.0
1278,1266.0,3654.0
1279,2680.0,2135.0
1280,2834.0,2890.0
1281,1912.0,4314.0
1282,2612.0,4816.0
1283,4892.0,4562.0
1284,3137.0,4805.0
1285,769.0,4100.0
1286,30.0,163.0
1287,480.0,2232.0
1288,1252.0,388.0
1289,2005.0,1546.0
1290,576.0,2914.0
1291,4756.0,3820.0
1292,1195.0,3081.0
1293,4146.0,573.0
1294,904.0,4503.0
1295,1498.0,2210.0
1296,2060.0,1068.0
1297,4495.0,697.0
1298,1158.0,3532.0
1299,4147.0,1583.0
1300,2800.0,3009.0
1301,1229.0,3606.0
1302,634.0,708.0
1303,3935.0,141.0
1304,3021.0,1162.0
1305,3072.0,668.0
1306,3952.0,4539.0
1307,1843.0,4149.0
1308,4138.0,3876.0
1309,1020.0,4710.0
1310,4597.0,4024.0
1311,1504.0,2524.0
1312,923.0,4360.0
1313,713.0,484.0
1314,1756.0,2442.0
1315,620.0,4304.0
1316,4342.0,3071.0
1317,2843.0,302.0
1318,1960.0,880.0
1319,2672.0,3821.0
1320,3865.0,1648.0
1321,1687.0,3473.0
1322,4315.0,4686.0
1323,2678.0,2743.0
1324,3876.0,3348.0
1325,2182.0,1392.0
1326,3995.0,1260.0
1327,3440.0,997.0
1328,862.0,1705.0
1329,3867.0,4670.0
1330,33.0,355.0
1331,3962.0,2298.0
1332,16.0,3680.0
1333,2386.0,2738.0
1334,980.0,4742.0
1335,1222.0,106.0
1336,2083.0,4234.0
1337,543.0,4709.0
1338,737.0,1427.0
1339,1366.0,781.0
1340,2898.0,2516.0
1341,852.0,1463.0
1342,4592.0,1499.0
1343,4347.0,4902.0
1344,4499.0,139.0
1345,2257.0,1616.0
1346,3482.0,1707.0
1347,1084.0,2553.0
1348,4930.0,4470.0
1349,800.0,4050.0
1350,480.0,2796.0
1351,2602.0,1579.0
1352,2122.0,1959.0
1353,2063.0,584.0
1354,2632.0,4637.0
1355,46.0,2776.0
1356,3472.0,1325.0
1357,1435.0,4919.0
1358,90.0,3423.0
1359,3093.0,1171.0
1360,1466.0,4004.0
1361,4124.0,147.0
1362,508.0,2273.0
1363,2574.0,2997.0
1364,4923.0,2458.0
1365,893.0,2524.0
1366,1580.0,2935.0
1367,392.0,3958.0
1368,4524.0,3715.0
1369,3005.0,3683.0
1370,3949.0,4902.0
1371,2657.0,4217.0
1372,1483.0,2870.0
1373,2889.0,2218.0
1374,2881.0,4559.0
1375,2339.0,2015.0
1376,578.0,2164.0
1377,2987.0,2860.0
1378,3920.0,2082.0
1379,2965.0,1478.0
1380,195.0,1347.0
1381,1095.0,4321.0
1382,3454.0,845.0
1383,4391.0,705.0
1384,1970.0,3901.0
1385,2111.0,10.0
1386,4130.0,2024.0
1387,3448.0,4342.0
1388,2240.0,2209.0
1389,4488.0,2915.0
1390,3191.0,1748.0
1391,2928.0,1112.0
1392,4384.0,176.0
1393,2033.0,2531.0
1394,2892.0,2105.0
1395,4264.0,3896.0
1396,1853.0,1347.0
1397,4182.0,3562.0
1398,35.0,2358.0
1399,289.0,2209.0
1400,2196.0,1598.0
1401,2139.0,2105.0
1402,2307.0,2642.0
1403,3158.0,1941.0
1404,3553.0,485.0
1405,1354.0,1711.0
1406,4659.0,1010.0
1407,3004.0,1608.0
1408,2260.0,3738.0
1409,3877.0,3895.0
1410,2203.0,397.0
1411,3298.0,3135.0
1412,786.0,656.0
1413,218.0,2511.0
1414,1265.0,262.0
1415,1247.0,4610.0
1416,840.0,1349.0
1417,1117.0,4468.0
1418,4363.0,3601.0
1419,4626.0,1189.0
1420,4899.0,1666.0
1421,3883.0,4292.0
1422,4234.0,1532.0
1423,1487.0,2842.0
1424,3228.0,2401.0
1425,439.0,3678.0
1426,547.0,608.0
1427,226.0,1295.0
1428,3762.0,1609.0
1429,3662.0,685.0
1430,1817.0,4728.0
1431,468.0,2938.0
1432,3303.0,2699.0
1433,1896.0,3101.0
1434,4859.0,1844.0
1435,4484.0,872.0
1436,1138.0,4483.0
1437,4384.0,3748.0
1438,2529.0,2620.0
1439,4699.0,99.0
1440,2120.0,3264.0
1441,3755.0,47.0
1442,1488.0,1188.0
1443,4273.0,3879.0
1444,461.0,4938.0
1445,3057.0,1520.0
1446,3546.0,1938.0
1447,3845.0,4000.0
1448,3473.0,371.0
1449,1772.0,1785.0
1450,2541.0,2166.0
1451,1296.0,4455.0
1452,1359.0,1785.0
1453,1361.0,2086.0
1454,4127.0,4219.0
1455,2507.0,711.0
1456,3473.0,3977.0
1457,1447.0,4368.0
1458,1559.0,4307.0
1459,1511.0,1694.0
1460,1907.0,4985.0
1461,2042.0,2357.0
1462,4578.0,4115.0
1463,2904.0,228.0
1464,1315.0,1419.0
1465,2231.0,3717.0
1466,4276.0,4227.0
1467,1628.0,3472.0
1468,3802.0,4335.0
1469,4838.0,4778.0
1470,4270.0,4740.0
1471,2322.0,124.0
1472,4259.0,4125.0
1473,4166.0,3797.0
1474,151.0,346.0
1475,23.0,4299.0
1476,1081.0,677.0
1477,1511.0,1071.0
1478,3594.0,4666.0
1479,4216.0,816.0
1480,4731.0,3834.0
1481,2919.0,779.0
1482,193.0,3410.0
1483,2608.0,2963.0
1484,3196.0,2041.0
1485,756.0,4863.0
1486,4474.0,741.0
1487,3201.0,3591.0
1488,2583.0,1258.0
1489,2824.0,3346.0
1490,203.0,1550.0
1491,1936.0,1644.0
1492,1383.0,3734.0
1493,3568.0,2506.0
1494,4791.0,2697.0
1495,4128.0,4668.0
1496,4099.0,2578.0
1497,2770.0,3478.0
1498,1220.0,4589.0
1499,2644.0,4827.0
1500,1669.0,4696.0
1501,2653.0,401.0
1502,4138.0,3908.0
1503,3020.0,3281.0
1504,4748.0,1312.0
1505,4562.0,1768.0
1506,964.0,4407.0
1507,3863.0,3169.0
1508,2008.0,4119.0
1509,747.0,4874.0
1510,3653.0,851.0
1511,2640.0,2997.0
1512,3063.0,865.0
1513,4263.0,2750.0
1514,3479.0,1928.0
1515,2579.0,3748.0
1516,82.0,953.0
1517,1073.0,3328.0
1518,623.0,1291.0
1519,4374.0,37.0
1520,738.0,583.0
1521,1747.0,1714.0
1522,2374.0,4298.0
1523,4412.0,4226.0
1524,1981.0,2549.0
1525,2506.0,2179.0
1526,2988.0,5.0
1527,4849.0,3057.0
1528,4856.0,3391.0
1529,2041.0,2974.0
1530,4096.0,4413.0
1531,824.0,448.0
1532,1906.0,2576.0
1533,148.0,2568.0
1534,3871.0,593.0
1535,1796.0,2606.0
1536,1186.0,493.0
1537,1776.0,3970.0
1538,453.0,3545.0
1539,1037.0,4727.0
1540,1764.0,4632.0
1541,4093.0,1432.0
1542,264.0,4397.0
1543,3591.0,3583.0
1544,2723.0,1955.0
1545,3655.0,2162.0
1546,3587.0,3224.0
1547,323.0,508.0
1548,2100.0,3758.0
1549,1019.0,3114.0
1550,863.0,3235.0
1551,3729.0,2663.0
1552,3364.0,1901.0
1553,1427.0,1168.0
1554,3688.0,4129.0
1555,1043.0,4596.0
1556,1962.0,1515.0
1557,2953.0,4567.0
1558,2508.0,1125.0
1559,163.0,4779.0
1560,1373.0,4139.0
1561,4209.0,2353.0
1562,1393.0,3707.0
1563,593.0,3098.0
1564,1275.0,2120.0
1565,3181.0,1897.0
1566,1413.0,4271.0
1567,3857.0,2761.0
1568,3088.0,660.0
1569,269.0,1164.0
1570,3097.0,395.0
1571,4175.0,2833.0
1572,564.0,1017.0
1573,2214.0,3271.0
1574,1105.0,4410.0
1575,2050.0,3436.0
1576,3878.0,1093.0
1577,4963.0,2956.0
1578,4918.0,4498.0
1579,3385.0,2242.0
1580,4027.0,232.0
1581,1201.0,1364.0
1582,581.0,2775.0
1583,2970.0,1296.0
1584,3985.0,1687.0
1585,4152.0,1509.0
1586,1309.0,2728.0
1587,1952.0,4044.0
1588,4982.0,1408.0
1589,1145.0,3673.0
1590,2744.0,4773.0
1591,3040.0,2471.0
1592,2989.0,4619.0
1593,4236.0,2792.0
1594,4431.0,4917.0
1595,1066.0,2869.0
1596,3726.0,4782.0
1597,694.0,4171.0
1598,764.0,1636.0
1599,842.0,3629.0
1600,1370.0,3486.0
1601,166.0,2948.0
1602,3145.0,2737.0
1603,4092.0,2410.0
1604,1554.0,3552.0
1605,2789.0,4375.0
1606,4666.0,2513.0
1607,2578.0,2014.0
1608,4736.0,4818.0
1609,1699.0,3943.0
1610,2284.0,4438.0
1611,4692.0,1307.0
1612,871.0,864.0
1613,4281.0,4095.0
1614,1226.0,3083.0
1615,3677.0,1659.0
1616,4147.0,987.0
1617,4295.0,2307.0
1618,1080.0,2848.0
1619,2297.0,403.0
1620,1873.0,1293.0
1621,135.0,2707.0
1622,903.0,4489.0
1623,302.0,2654.0
1624,2011.0,3255.0
1625,4447.0,4604.0
1626,1744.0,1193.0
1627,3876.0,997.0
1628,3824.0,36.0
1629,343.0,332.0
1630,868.0,3348.0
1631,2821.0,3108.0
1632,1659.0,976.0
1633,2115.0,3751.0
1634,4833.0,3285.0
1635,4589.0,1170.0
1636,3489.0,2140.0
1637,2765.0,4375.0
1638,2963.0,384.0
1639,2413.0,32.0
1640,4227.0,3913.0
1641,1548.0,1320.0
1642,2864.0,2625.0
1643,2989.0,3381.0
1644,2051.0,3188.0
1645,3814.0,1414.0
1646,2526.0,1531.0
1647,1776.0,4160.0
1648,1509.0,1981.0
1649,1207.0,635.0
1650,1972.0,1461.0
1651,1251.0,3092.0
1652,3227.0,353.0
1653,4458.0,384.0
1654,3907.0,3068.0
1655,3836.0,1734.0
1656,4461.0,495.0
1657,2067.0,3976.0
1658,1126.0,135.0
1659,2647.0,1514.0
1660,4935.0,3726.0
1661,3830.0,2740.0
1662,872.0,767.0
1663,2549.0,4422.0
1664,4796.0,1043.0
1665,295.0,4555.0
1666,410.0,1679.0
1667,2009.0,2654.0
1668,4721.0,1280.0
1669,1280.0,2033.0
1670,3078.0,1686.0
1671,501.0,256.0
1672,1726.0,423.0
1673,1408.0,3793.0
1674,906.0,743.0
1675,632.0,3335.0
1676,1851.0,367.0
1677,3170.0,1042.0
1678,2783.0,1924.0
1679,935.0,504.0
1680,1862.0,3807.0
1681,3655.0,3275.0
1682,3934.0,3593.0
1683,1877.0,93.0
1684,4377.0,4354.0
1685,1642.0,2300.0
1686,1387.0,2031.0
1687,3932.0,3028.0
1688,3230.0,3171.0
1689,2831.0,2939.0
1690,3100.0,3967.0
1691,3833.0,4938.0
1692,3223.0,2386.0
1693,2072.0,1899.0
1694,864.0,608.0
1695,2430.0,2209.0
1696,1401.0,2106.0
1697,1065.0,821.0
1698,4264.0,3948.0
1699,1575.0,4174.0
1700,2717.0,1187.0
1701,4458.0,4964.0
1702,513.0,350.0
1703,4817.0,4391.0
1704,2013.0,2524.0
1705,2326.0,1794.0
1706,4995.0,1265.0
1707,4551.0,3689.0
1708,4305.0,1638.0
1709,1839.0,3265.0
1710,4361.0,1382.0
1711,2721.0,3914.0
1712,559.0,120.0
1713,4164.0,2049.0
1714,2396.0,2335.0
1715,4627.0,3153.0
1716,4479.0,1177.0
1717,2691.0,2460.0
1718,2880.0,4503.0
1719,1902.0,1507.0
1720,4307.0,1805.0
1721,3266.0,1141.0
1722,2545.0,649.0
1723,1387.0,4424.0
1724,3096.0,3352.0
1725,4334.0,3523.0
1726,2978.0,4661.0
1727,1089.0,4808.0
1728,4269.0,1143.0
1729,182.0,321.0
1730,3346.0,814.0
1731,1636.0,2824.0
1732,2279.0,1591.0
1733,4552.0,3239.0
1734,1695.0,3146.0
1735,3059.0,3180.0
1736,3497.0,4257.0
1737,748.0,770.0
1738,446.0,4322.0
1739,3069.0,4189.0
1740,3100.0,3855.0
1741,1240.0,4837.0
1742,2933.0,2973.0
1743,3921.0,3110.0
1744,3459.0,4825.0
1745,1081.0,4454.0
1746,4047.0,1035.0
1747,2263.0,2485.0
1748,4666.0,2385.0
1749,2243.0,1505.0
1750,2605.0,2861.0
1751,4506.0,2375.0
1752,4053.0,644.0
1753,3175.0,3196.0
1754,1992.0,3348.0
1755,4666.0,2184.0
1756,3404.0,936.0
1757,2904.0,4971.0
1758,826.0,1212.0
1759,1143.0,4144.0
1760,2810.0,1056.0
1761,2404.0,1916.0
1762,2378.0,4997.0
1763,3258.0,2267.0
1764,1766.0,798.0
1765,4544.0,2954.0
1766,320.0,668.0
1767,1082.0,4246.0
1768,2570.0,4647.0
1769,3616.0,4683.0
1770,1016.0,3198.0
1771,1564.0,4777.0
1772,256.0,3346.0
1773,2192.0,4416.0
1774,3667.0,4397.0
1775,3835.0,2095.0
1776,3516.0,1414.0
1777,3605.0,695.0
1778,4708.0,1631.0
1779,1796.0,2073.0
1780,252.0,1078.0
1781,659.0,3046.0
1782,4494.0,4399.0
1783,202.0,1421.0
1784,582.0,4547.0
1785,1864.0,2027.0
1786,2725.0,3835.0
1787,2676.0,3288.0
1788,4877.0,2148.0
1789,2950.0,3689.0
1790,1943.0,4203.0
1791,985.0,1083.0
1792,1556.0,1714.0
1793,2478.0,4547.0
1794,3252.0,4849.0
1795,2993.0,4964.0
1796,4526.0,839.0
1797,1868.0,4357.0
1798,3460.0,4789.0
1799,334.0,53.0
1800,1808.0,1802.0
1801,2332.0,600.0
1802,3335.0,756.0
1803,1231.0,1101.0
1804,2771.0,973.0
1805,4482.0,714.0
1806,92.0,4229.0
1807,155.0,2156.0
1808,2964.0,1081.0
1809,4760.0,3857.0
1810,1745.0,3262.0
1811,827.0,4706.0
1812,157.0,4495.0
1813,1672.0,1174.0
1814,2298.0,4600.0
1815,534.0,2936.0
1816,1348.0,1642.0
1817,1782.0,4109.0
1818,2081.0,2710.0
1819,3562.0,181.0
1820,4118.0,4810.0
1821,4551.0,2843.0
1822,1453.0,1034.0
1823,2669.0,1807.0
1824,3686.0,1531.0
1825,2154.0,2054.0
1826,3201.0,1363.0
1827,4612.0,3280.0
1828,4883.0,3888.0
1829,4823.0,2734.0
1830,2358.0,216.0
1831,3329.0,2103.0
1832,1230.0,2957.0
1833,2929.0,1928.0
1834,2858.0,1768.0
1835,2999.0,2879.0
1836,2202.0,4001.0
1837,183.0,203.0
1838,1170.0,4622.0
1839,574.0,148.0
1840,2221.0,384.0
1841,2958.0,4396.0
1842,3107.0,4827.0
1843,3824.0,1903.0
1844,3507.0,4582.0
1845,4812.0,3187.0
1846,1381.0,3871.0
1847,1552.0,1404.0
1848,976.0,2961.0
1849,1331.0,1541.0
1850,1936.0,3896.0
1851,1796.0,4441.0
1852,4853.0,259.0
1853,3234.0,1429.0
1854,4462.0,241.0
1855,2322.0,2708.0
1856,3843.0,2.0
1857,337.0,1101.0
1858,4572.0,2906.0
1859,4395.0,2870.0
1860,137.0,4252.0
1861,960.0,2824.0
1862,2403.0,4588.0
1863,2374.0,2455.0
1864,4601.0,2072.0
1865,1430.0,4533.0
1866,4374.0,3585.0
1867,3445.0,3943.0
1868,948.0,1511.0
1869,234.0,2855.0
1870,4615.0,4985.0
1871,2295.0,2130.0
1872,4353.0,1552.0
1873,3079.0,4532.0
1874,1695.0,2100.0
1875,1584.0,3626.0
1876,3905.0,1593.0
1877,2134.0,312.0
1878,3859.0,2649.0
1879,2632.0,4369.0
1880,1932.0,4546.0
1881,1421.0,274.0
1882,2688.0,4369.0
1883,516.0,1820.0
1884,1237.0,3249.0
1885,926.0,1478.0
1886,4602.0,2710.0
1887,3254.0,1965.0
1888,3065.0,2621.0
1889,3232.0,4088.0
1890,3734.0,390.0
1891,1207.0,4935.0
1892,4263.0,327.0
1893,1270.0,4260.0
1894,3883.0,3275.0
1895,424.0,2562.0
1896,2374.0,1468.0
1897,3453.0,254.0
1898,3357.0,4908.0
1899,703.0,133.0
1900,3079.0,995.0
1901,959.0,685.0
1902,2766.0,4248.0
1903,1570.0,34.0
1904,4228.0,4592.0
1905,397.0,671.0
1906,4468.0,1896.0
1907,756.0,678.0
1908,4305.0,1347.0
1909,4746.0,1444.0
1910,2589.0,360.0
1911,4278.0,4934.0
1912,3420.0,1874.0
1913,3903.0,131.0
1914,2457.0,3061.0
1915,4393.0,4000.0
1916,2831.0,1733.0
1917,4353.0,2435.0
1918,683.0,2251.0
1919,2249.0,4550.0
1920,4457.0,24.0
1921,3002.0,2167.0
1922,1187.0,2209.0
1923,3975.0,2971.0
1924,4615.0,2309.0
1925,3874.0,2989.0
1926,3798.0,2927.0
1927,1868.0,315.0
1928,4115.0,769.0
1929,2928.0,841.0
1930,2307.0,1875.0
1931,1990.0,1946.0
1932,4345.0,3232.0
1933,749.0,1870.0
1934,595.0,4951.0
1935,2285.0,1575.0
1936,1131.0,1081.0
1937,3283.0,591.0
1938,997.0,168.0
1939,3743.0,4128.0
1940,1553.0,2380.0
1941,1305.0,4610.0
1942,3094.0,3510.0
1943,1356.0,3285.0
1944,2356.0,3414.0
1945,2033.0,4338.0
1946,1284.0,3670.0
1947,2135.0,1192.0
1948,1405.0,1750.0
1949,1442.0,69.0
1950,3107.0,4307.0
1951,3793.0,681.0
1952,1964.0,1112.0
1953,2055.0,2737.0
1954,2342.0,156.0
1955,4099.0,2284.0
1956,822.0,847.0
1957,2249.0,3982.0
1958,2445.0,4728.0
1959,2685.0,4592.0
1960,1801.0,2239.0
1961,278.0,3967.0
1962,744.0,2808.0
1963,1053.0,3648.0
1964,171.0,1371.0
1965,1638.0,4520.0
1966,4470.0,137.0
1967,3642.0,3996.0
1968,531.0,2052.0
1969,3195.0,2434.0
1970,4947.0,1355.0
1971,278.0,2393.0
1972,18.0,2729.0
1973,3953.0,4311.0
1974,4766.0,3086.0
1975,4269.0,2312.0
1976,4555.0,1104.0
1977,1127.0,3584.0
1978,1860.0,3147.0
1979,2430.0,1353.0
1980,3627.0,3100.0
1981,4191.0,478.0
1982,580.0,3642.0
1983,806.0,4466.0
1984,3201.0,1952.0
1985,2538.0,313.0
1986,2711.0,427.0
1987,1003.0,3999.0
1988,2509.0,3359.0
1989,2918.0,1721.0
1990,3171.0,1548.0
1991,4233.0,2918.0
1992,1088.0,3983.0
1993,3038.0,1214.0
1994,4753.0,1353.0
1995,1053.0,2468.0
1996,3962.0,179.0
1997,1712.0,2342.0
1998,649.0,1246.0
1999,1341.0,4689.0
2000,3196.0,3512.0
2001,2896.0,3747.0
2002,4187.0,4820.0
2003,2133.0,2001.0
2004,4671.0,1467.0
2005,4621.0,4094.0
2006,3719.0,4395.0
2007,6.0,2191.0
2008,16.0,1830.0
2009,1777.0,344.0
2010,1044.0,4287.0
2011,4590.0,1090.0
2012,2451.0,115.0
2013,1268.0,3011.0
2014,1071.0,1110.0
2015,2674.0,3470.0
2016,4497.0,484.0
2017,4993.0,832.0
2018,2871.0,624.0
2019,4273.0,466.0
2020,3452.0,1269.0
2021,390.0,272.0
2022,433.0,3672.0
2023,2434.0,4039.0
2024,4109.0,4550.0
2025,820.0,636.0
2026,4650.0,25.0
2027,764.0,2686.0
2028,2026.0,2417.0
2029,2195.0,105.0
2030,4150.0,1296.0
2031,1092.0,247.0
2032,4364.0,2727.0
2033,3934.0,1529.0
2034,4591.0,4018.0
2035,3363.0,4732.0
2036,4881.0,4590.0
2037,4605.0,318.0
2038,1038.0,330.0
2039,2478.0,193.0
2040,2595.0,954.0
2041,2001.0,2068.0
2042,1715.0,4092.0
2043,381.0,1103.0
2044,2380.0,3702.0
2045,2764.0,4222.0
2046,22.0,3989.0
2047,1483.0,1473.0
2048,3449.0,2533.0
2049,2696.0,539.0
2050,4071.0,945.0
2051,177.0,991.0
2052,1181.0,850.0
2053,383.0,2624.0
2054,2061.0,4848.0
2055,1925.0,198.0
2056,3750.0,1593.0
2057,3571.0,1708.0
2058,4363.0,2004.0
2059,4089.0,761.0
2060,4429.0,4921.0
2061,3437.0,4201.0
2062,3138.0,1921.0
2063,3981.0,2222.0
2064,1172.0,4251.0
2065,2609.0,2434.0
2066,2340.0,3051.0
2067,1609.0,4739.0
2068,1516.0,1234.0
2069,3194.0,3767.0
2070,1667.0,14.0
2071,4649.0,165.0
2072,1576.0,499.0
2073,3346.0,4816.0
2074,1687.0,1941.0
2075,4364.0,228.0
2076,4253.0,3814.0
2077,296.0,3843.0
2078,964.0,4872.0
2079,401.0,4385.0
2080,4282.0,1884.0
2081,4205.0,1576.0
2082,888.0,2986.0
2083,4640.0,3154.0
2084,2823.0,2239.0
2085,2771.0,2937.0
2086,477.0,4383.0
2087,629.0,4802.0
2088,4208.0,4790.0
2089,2302.0,2889.0
2090,3876.0,1802.0
2091,3487.0,505.0
2092,3849.0,75.0
2093,1859.0,3680.0
2094,2652.0,4379.0
2095,6.0,1167.0
2096,2825.0,1529.0
2097,4625.0,128.0
2098,2839.0,196.0
2099,3932.0,2.0
2100,102.0,745.0
2101,2050.0,4884.0
2102,228.0,4715.0
2103,3573.0,4980.0
2104,2746.0,4547.0
2105,3988.0,2744.0
2106,3571.0,630.0
2107,953.0,3225.0
2108,1280.0,4923.0
2109,4396.0,976.0
2110,695.0,4390.0
2111,612.0,2069.0
2112,935.0,4615.0
2113,491.0,3726.0
2114,4821.0,4473.0
2115,721.0,4539.0
2116,4988.0,4501.0
2117,4522.0,4793.0
2118,1401.0,3012.0
2119,2152.0,2042.0
2120,3552.0,4126.0
2121,2156.0,2649.0
2122,2067.0,99.0
2123,2191.0,372.0
2124,1099.0,3182.0
2125,3332.0,3073.0
2126,3412.0,3733.0
2127,2410.0,4583.0
2128,783.0,4760.0
2129,536.0,2035.0
2130,9.0,4673.0
2131,484.0,4696.0
2132,3055.0,3850.0
2133,2247.0,2512.0
2134,436.0,4738.0
2135,1763.0,4388.0
2136,3555.0,4782.0
2137,1228.0,248.0
2138,2073.0,4274.0
2139,4236.0,3659.0
2140,1317.0,4788.0
2141,2362.0,2470.0
2142,3761.0,4551.0
2143,456.0,3239.0
2144,2123.0,286.0
2145,4634.0,34.0
2146,2871.0,4790.0
2147,1299.0,1464.0
2148,3439.0,2926.0
2149,1062.0,4201.0
2150,2751.0,1089.0
2151,1672.0,4118.0
2152,2921.0,4259.0
2153,3928.0,1247.0
2154,796.0,4488.0
2155,4521.0,502.0
2156,77.0,2203.0
2157,2445.0,85.0
2158,78.0,4393.0
2159,1027.0,3127.0
2160,4285.0,1169.0
2161,651.0,1691.0
2162,1993.0,1715.0
2163,3337.0,356.0
2164,506.0,1340.0
2165,2841.0,677.0
2166,2253.0,4561.0
2167,770.0,4054.0
2168,3776.0,4257.0
2169,472.0,1980.0
2170,1394.0,2155.0
2171,3965.0,834.0
2172,304.0,2081.0
2173,3196.0,4176.0
2174,4873.0,1748.0
2175,4478.0,1802.0
2176,1924.0,2143.0
2177,1429.0,3871.0
2178,4748.0,1636.0
2179,2521.0,2974.0
2180,3064.0,4414.0
2181,4131.0,4366.0
2182,3617.0,1048.0
2183,1203.0,1239.0
2184,1020.0,3783.0
2185,993.0,2072.0
2186,4577.0,479.0
2187,2927.0,4635.0
2188,4874.0,4607.0
2189,2893.0,4665.0
2190,1386.0,4698.0
2191,1403.0,3324.0
2192,2292.0,4935.0
2193,4551.0,4410.0
2194,1292.0,1350.0
2195,1916.0,2164.0
2196,2473.0,4313.0
2197,950.0,4262.0
2198,1405.0,1127.0
2199,2220.0,2972.0
2200,3399.0,206.0
2201,3117.0,410.0
2202,1511.0,4732.0
2203,1930.0,527.0
2204,4338.0,1153.0
2205,911.0,74.0
2206,704.0,4263.0
2207,1058.0,1213.0
2208,4430.0,1852.0
2209,4722.0,539.0
2210,1651.0,4226.0
2211,4002.0,2876.0
2212,235.0,2614.0
2213,1987.0,2228.0
2214,1312.0,1242.0
2215,4139.0,4735.0
2216,3016.0,4956.0
2217,3943.0,1858.0
2218,1242.0,311.0
2219,4147.0,4070.0
2220,82.0,1048.0
2221,1163.0,214.0
2222,2506.0,3451.0
2223,2492.0,1031.0
2224,2747.0,1793.0
2225,718.0,4058.0
2226,1451.0,2072.0
2227,35.0,2775.0
2228,1975.0,4600.0
2229,4172.0,3917.0
2230,1658.0,31.0
2231,2061.0,1144.0
2232,2402.0,415.0
2233,4192.0,4051.0
2234,2117.0,2915.0
2235,1257.0,2611.0
2236,271.0,4525.0
2237,4010.0,2255.0
2238,4843.0,2243.0
2239,2253.0,160.0
2240,2922.0,366.0
2241,1980.0,4870.0
2242,2751.0,4947.0
2243,4544.0,2570.0
2244,993.0,3172.0
2245,234.0,3764.0
2246,4411.0,4517.0
2247,2954.0,35.0
2248,1657.0,1025.0
2249,2990.0,3109.0
2250,4784.0,2028.0
2251,3279.0,141.0
2252,1970.0,1093.0
2253,806.0,1103.0
2254,3184.0,1792.0
2255,4740.0,2246.0
2256,439.0,1455.0
2257,3332.0,4949.0
2258,412.0,255.0
2259,2925.0,592.0
2260,4504.0,4035.0
2261,3296.0,1510.0
2262,1243.0,3291.0
2263,4417.0,3707.0
2264,1858.0,314.0
2265,4825.0,1272.0
2266,1960.0,4145.0
2267,1055.0,2295.0
2268,3925.0,1431.0
2269,3677.0,1964.0
2270,1109.0,1315.0
2271,352.0,931.0
2272,2693.0,4959.0
2273,2153.0,1633.0
2274,3779.0,70.0
2275,3567.0,3859.0
2276,1940.0,860.0
2277,3968.0,2903.0
2278,1299.0,2091.0
2279,4917.0,4839.0
2280,2296.0,565.0
2281,2918.0,1882.0
2282,3591.0,2872.0
2283,827.0,859.0
2284,1638.0,6.0
2285,99.0,2471.0
2286,3520.0,3904.0
2287,4927.0,4541.0
2288,643.0,2556.0
2289,1455.0,2085.0
2290,600.0,2580.0
2291,432.0,3295.0
2292,681.0,2097.0
2293,2058.0,1699.0
2294,3501.0,2531.0
2295,687.0,3669.0
2296,621.0,1103.0
